"","Identifier","Species","Reference effect size","Reference dominance system","Reference relatedness"
"418",418,"Macaca_mulatta","(Bercovitch and Berard, 1993)","(Deutsch and Lee, 1991)","(Chepko-Sade and Olivier, 1979)"
"419",419,"Theropithecus_gelada","(Dunbar, 1980)","(Dunbar, 1980)","(Snyder-Mackler, Alberts, and Bergman, 2014)"
"420",420,"Theropithecus_gelada","(Dunbar, 1980)","(Dunbar, 1980)","(Snyder-Mackler, Alberts, and Bergman, 2014)"
"421",421,"Theropithecus_gelada","(Dunbar, 1980)","(Dunbar, 1980)","(Snyder-Mackler, Alberts, and Bergman, 2014)"
"422",422,"Theropithecus_gelada","(Dunbar, 1980)","(Dunbar, 1980)","(Snyder-Mackler, Alberts, and Bergman, 2014)"
"423",423,"Theropithecus_gelada","(Dunbar, 1980)","(Dunbar, 1980)","(Snyder-Mackler, Alberts, and Bergman, 2014)"
"424",424,"Theropithecus_gelada","(Dunbar, 1985)","(Dunbar, 1980)","(Snyder-Mackler, Alberts, and Bergman, 2014)"
"425",425,"Callithrix_jacchus","(Rothe, 2010)","(Digby, 1995)","(Rothe, 2010)"
"426",426,"Callithrix_jacchus","(Arruda, Araújo, Sousa, Albuquerque, Albuquerque, and Yamamoto, 2005)","(Digby, 1995)","(Nievergelt et al. 2000)"
"427",427,"Callithrix_jacchus","(Arruda, Araújo, Sousa, et al., 2005)","(Digby, 1995)","(Nievergelt et al. 2000)"
